Indicador,Último,Anterior,Unidad,Referencia
Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,10.00,-19.00,Mil,Feb 2026
Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,-7.00,29.00,Mil,Feb 2026
Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,60.00,1.00,Mil,Feb 2026
Reporte ADP De Empleo,63.00,11.00,Mil,Feb 2026
Cambio de Empleo ADP (ADP) Semanal,10.00,9.00,Mil,Mar 2026
Recortes de empleo Challenger,48307.00,108435.00,Personas,Feb 2026
Peticiones extendidas de desempleo,1819.00,1851.00,Mil,Mar 2026
Peticiones por desempleo,210.00,205.00,Mil,Mar 2026
Jolts Vacantes de Empleo,6882.00,7240.00,Mil,Feb 2026
Nóminas no agrícolas,-92.00,126.00,Mil,Feb 2026
Tasa de Desempleo,4.40,4.30,Por Ciento,Feb 2026
